Country Code,Year,ENI,POP,URB,AFL,TI,TS,CTS,KAOPEN
ABW,1980,,333.86666666666696,50.472,,,,,
ABW,1981,,336.483333333333,50.456,,,,,
ABW,1982,,340.805555555556,50.441,,,,,
ABW,1983,,345.561111111111,50.426,,,,,
ABW,1984,,349.088888888889,50.411,,,,,
ABW,1985,,350.144444444444,50.395,,,,,
ABW,1986,,348.022222222222,50.38,,,,,
ABW,1987,,343.516666666667,50.365,,,,,
ABW,1988,,339.327777777778,50.35,,,,,
ABW,1989,,339.066666666667,50.335,,,,,
ABW,1990,,345.272222222222,50.319,23309.0205200435,,,,
ABW,1991,,359.011111111111,50.304,25020.507166351093,,,,
ABW,1992,,379.083333333333,49.99800000000001,25661.3190049092,,,,-0.1483880877494812
ABW,1993,,402.8,49.588,26529.2339547371,,,,-0.1483880877494812
ABW,1994,,426.111111111111,49.177,27714.716606422997,,,,-0.1483880877494812
ABW,1995,,446.24444444444396,48.767,27707.4342306763,,1.7138747276457948,0.053328913531212316,-0.1483880877494812
ABW,1996,,462.222222222222,48.356,27562.459668339703,,1.7533490140195045,0.05567482510965383,-1.2185401916503906
ABW,1997,,474.727777777778,47.94600000000001,29222.894913407203,,1.6877083196580878,0.05569322117294088,-1.2185401916503906
ABW,1998,,484.872222222222,47.536,29509.8766147189,,1.6329310558860308,0.05746958896033528,-1.2185401916503906
ABW,1999,,494.472222222222,47.127,29718.1698233828,,1.6456915309308997,0.058169715708229694,-1.2185401916503906
ABW,2000,,504.738888888889,46.717,32031.555426248106,,1.4507317771389738,0.045496166250024776,-1.2185401916503906
ABW,2001,,516.1,46.339,31062.349294390497,,1.390456793715448,0.04368168827290532,-1.2185401916503906
ABW,2002,,527.733333333333,45.972,29847.928351813905,1.052720229071922,1.343021582733813,0.04079120019373175,-1.2185401916503906
ABW,2003,,538.983333333333,45.606,30355.732380497404,,1.339690436705362,0.03656794440456791,-1.2185401916503906
ABW,2004,,548.538888888889,45.24,33053.246533983,,1.336425169215342,0.03317859587028462,-1.2185401916503906
ABW,2005,,555.727777777778,44.875,34050.4715742545,,1.465004793863853,0.03661958151716227,-1.2185401916503906
ABW,2006,,560.188888888889,44.511,35167.1663632633,,1.4396313364055318,0.032453311534578144,-1.2185401916503906
ABW,2007,,562.344444444444,44.147,36621.0351132862,,1.4296090578936134,0.029854728643932092,-1.2185401916503906
ABW,2008,,563.1,43.783,37249.4504598536,,1.4588929588929638,0.028511584130119644,-1.2185401916503906
ABW,2009,,563.638888888889,43.42100000000001,33552.8898211474,,1.4006259780907644,0.030030983375796717,-1.2185401916503906
ABW,2010,,564.827777777778,43.059,32624.209094705,,1.386071512035522,0.02379724296016349,-1.2185401916503906
ABW,2011,,566.922222222222,42.94,34326.1448226739,,1.5159947414548647,0.02575899901249299,-1.2185401916503906
ABW,2012,,569.777777777778,42.957,33569.1865005073,,1.4767467489530541,0.023811442948653276,-1.2185401916503906
ABW,2013,,573.1055555555561,42.99,36477.7793887055,,1.6348221670802312,0.030266738871703842,-1.2185401916503906
ABW,2014,,576.522222222222,43.041,36444.2620573183,,1.625656565656568,0.02988675006506156,-1.2185401916503906
ABW,2015,,579.672222222222,43.108,36765.1160710175,,1.476655185610408,0.02896832853535202,-1.2185401916503906
ABW,2016,,582.622222222222,43.192,37359.37343836991,,1.421359954793742,0.027339527387666148,-1.2185401916503906
ABW,2017,,585.366666666667,43.293,38442.4138382323,,1.4496435752147672,0.026330463265616708,-1.2185401916503906
ABW,2018,,588.027777777778,43.411,,,,,-1.2185401916503906
ABW,2019,,,43.54600000000001,,,,,
AFG,1980,,20.458461232117106,15.995,,,,,-1.2185401916503906
AFG,1981,,20.1753408081365,16.562,,,,,-1.2185401916503906
AFG,1982,,19.7324510614833,17.147000000000002,,,,,-1.920277714729309
AFG,1983,,19.204316392488398,17.747,,,,,-1.920277714729309
AFG,1984,,18.693582084979894,18.365,,,,,-1.920277714729309
AFG,1985,,18.2860153784885,18.997,,,,,-1.920277714729309
AFG,1986,,17.976563122262,19.647,,,,,-1.920277714729309
AFG,1987,,17.774919584597,20.314,,,,,-1.920277714729309
AFG,1988,,17.7955534111448,20.998,,,,,-1.920277714729309
AFG,1989,,18.179819563152893,21.088,,,,,-1.920277714729309
AFG,1990,,19.0122047605919,21.177,,,,,-1.920277714729309
AFG,1991,,20.3703964096437,21.266,,,,,-1.920277714729309
AFG,1992,,22.187828937291304,21.355,,,,,-1.920277714729309
AFG,1993,,24.226638176638197,21.444000000000006,,,,,-1.920277714729309
AFG,1994,,26.1552660601048,21.534,,,,,-1.920277714729309
AFG,1995,,27.740491070061,21.624,,,,,
AFG,1996,,28.8782235088687,21.714,,,,,
AFG,1997,,29.649735012100606,21.805,,,,,
AFG,1998,,30.232768127929397,21.895,,,,,
AFG,1999,,30.896124743436605,21.986,,,,,
AFG,2000,,31.8291103758846,22.078000000000007,,,,,-1.920277714729309
AFG,2001,,33.0958980485862,22.169,,,,,
AFG,2002,,34.6180957632571,22.261,877.0144234713382,,,,
AFG,2003,,36.272510185951,22.353,927.857547925085,,,,
AFG,2004,,37.874404926017796,22.5,925.44161616896,,,,
AFG,2005,,39.2952194957571,22.703000000000007,1023.05162962569,,,,
AFG,2006,,40.488081671415,22.907,1077.7619066135,,,,
AFG,2007,,41.5104861685507,23.113000000000003,1228.70413479594,,,,
AFG,2008,,42.4628189810986,23.32,1272.57320418133,,,,
AFG,2009,,43.49295867414151,23.528,1519.6925481355,,0.4966342571087168,0.01879495051351345,
AFG,2010,,44.7040820390283,23.737,1710.57564540856,,0.5257960004115116,0.022714859199519304,
AFG,2011,,46.1315029255889,23.948,1699.48799733991,,0.5765517220634064,0.026016104424429868,
AFG,2012,,47.73056398002629,24.16,1914.77435127371,,0.6078213840237375,0.03183278048718455,
AFG,2013,,49.42803817051129,24.373,2015.51496204541,,0.5562861227524781,0.026670643077848024,
AFG,2014,,51.114778053487704,24.587,2069.42464180385,,0.4994903680648616,0.020900500564686824,
AFG,2015,,52.7120715007812,24.803,2087.30532306683,,0.49625407953846273,0.022308239594989326,
AFG,2016,,54.197114235823896,25.02,2128.98802616095,,0.43710409785765875,0.016879420604175435,
AFG,2017,,55.5959930153479,25.25,2202.5708512665,,0.45114195044920236,0.016847014415653803,
AFG,2018,,56.937760009803,25.495,2241.92324554494,,0.4923589237918592,0.017176470424938205,
AFG,2019,,,25.754,2293.55168387905,,0.4562117712007586,0.014752088530811459,
AGO,1980,,6.69069463383332,24.298,,,,,
AGO,1981,,6.93065372583621,25.437,,,,,
AGO,1982,,7.18131868131868,26.612,,,,,
AGO,1983,,7.442124007379482,27.821,,,,,
AGO,1984,,7.71216331114141,29.065,,,,,
AGO,1985,,7.990693029598138,30.338,,,,,
AGO,1986,,8.277942568380517,31.643,,,,,
AGO,1987,,8.574035453597501,32.978,,,,,
AGO,1988,,8.877877596855699,34.343,,,,,
AGO,1989,,9.18807812625331,35.731,,,,,
AGO,1990,0.15198234064650643,9.503798828908321,37.144,3267.06700380021,,,,
AGO,1991,0.1490536317830582,9.8250589556429,38.58,3299.5007556188507,,,,
AGO,1992,0.1556313690288568,10.1526959172215,40.039,3075.12293289585,0.0474032274961473,,,
AGO,1993,0.20712747963885225,10.4877267987487,41.511,2316.5436426806,,,,-1.920277714729309
AGO,1994,0.20285252304642196,10.831593005534598,43.0,2321.58128787376,,,,-1.920277714729309
AGO,1995,0.1726328020078721,11.185695034892099,44.169,2639.51027498998,,,,-1.920277714729309
AGO,1996,0.153638044772682,11.551070024865599,45.346,2955.3563810763,,,,-1.2185401916503906
AGO,1997,0.143858151486865,11.928747894441301,46.525,3122.89880893322,,,,-1.2185401916503906
AGO,1998,0.13553972669593245,12.3202061442207,47.71,3201.1463008734004,,,,-1.2185401916503906
AGO,1999,0.1373432506081236,12.7270947300874,48.897,3212.12157733704,,,,-1.2185401916503906
AGO,2000,0.13390314367708434,13.151097296863696,50.087,3275.12862821245,,1.525471094548584,0.24514177912879034,-1.2185401916503906
AGO,2001,0.13127313763162193,13.592486564530402,51.274,3374.48199675,,1.5033579469009308,0.23764515784718915,-1.2185401916503906
AGO,2002,0.1189428089432744,14.0526325499318,52.46100000000001,3768.7164453832,,1.0530174260014862,0.19744774673001855,-1.2185401916503906
AGO,2003,0.12235176446068788,14.535557070666599,53.645,3822.12762812961,,1.0390122681494809,0.19384175618750227,-1.2185401916503906
AGO,2004,0.1104812292857014,15.0462380685008,54.827,4207.12052604953,,1.035799243620953,0.21063844642765184,-1.2185401916503906
AGO,2005,0.09001431753770629,15.5880340097858,56.0,4816.70630376003,,1.0659096212952504,0.3074999318060335,-1.2185401916503906
